ticker,error
UNH,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/UNH?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
XOM,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/XOM?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
JNJ,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/JNJ?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
NVDA,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/NVDA?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
PG,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/PG?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
HD,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/HD?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
CVX,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/CVX?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
ABBV,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/ABBV?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
MRK,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/MRK?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
COST,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/COST?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
BAC,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/BAC?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
KO,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/KO?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
PEP,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/PEP?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
AVGO,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/AVGO?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
TMO,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/TMO?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
MCD,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/MCD?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
CSCO,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/CSCO?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
ABT,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/ABT?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
ACN,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/ACN?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
DHR,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/DHR?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
TXN,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/TXN?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
NKE,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/NKE?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
VZ,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/VZ?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
ADBE,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/ADBE?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
WFC,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/WFC?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
CRM,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/CRM?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
NEE,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/NEE?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
LIN,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/LIN?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
PM,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/PM?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
UPS,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/UPS?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
RTX,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/RTX?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
HON,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/HON?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
QCOM,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/QCOM?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
MS,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/MS?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
AMGN,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/AMGN?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
LOW,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/LOW?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
UNP,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/UNP?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
BA,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/BA?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
IBM,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/IBM?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
SPGI,"HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v3/reference/tickers/SPGI?apiKey=hb4SJORyGfIXhczEGpiIvq3Smt21_OgO (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))"
